"NAME","COLOR","DESCRIPTION"
"Barbera","red",""
"Brunello","red",""
"Cabernet Franc","red",""
"Cabernet Sauvignon","red",""
"Carignane","red",""
"Carmenere","red",""
"Cinsault","red",""
"Dolcetto","red",""
"Durif","red",""
"Gamay","red",""
"Grenache","red",""
"Grignolino","red",""
"Malbec","red",""
"Merlot","red",""
"Montepulciano","red",""
"Mourvèdre","red",""
"Nebbiolo","red",""
"Petit Sirah","red",""
"Petit Verdot","red",""
"Pinotage","red",""
"Pinot Meunier","red",""
"Pinot Noir","red",""
"Sangiovese","red",""
"Syrah/Shiraz","red",""
"Tempranillo","red",""
"Tinta Barroca","red",""
"Tinta Cao","red",""
"Touriga Francesa","red",""
"Touriga Nacional","red",""
"Tinta Roriz","red",""
"Zinfandel","red",""
