"NAME","COLOR","DESCRIPTION"
"Aligoté","white",""
"Chardonnay","white",""
"Chenin Blanc","white",""
"Columbard","white",""
"Folle Blanche","white",""
"Gewurztraminer","white",""
"Grüner Veltliner","white",""
"Malvasia","white",""
"Marsanne","white",""
"Melon de Bourgogne","white",""
"Muller-Thurgau","white",""
"Muscadelle","white",""
"Muscat","white",""
"Palomino","white",""
"Pedro Ximénez","white",""
"Pinot Blanc","white",""
"Pinot Gris","white",""
"Riesling","white",""
"Rousanne","white",""
"Sauvignon Blanc","white",""
"Scheurebe","white",""
"Semillon","white",""
"Sylvaner","white",""
"Trebbiano","white",""
"Ugni Blanc","white",""
"Verdicchio","white",""
"Viognier","white",""
