"PERMIT NUMBER","OWNER NAME","OPERATING NAME","STREET","CITY","STATE","ZIP","ZIP4","COUNTY"
"CA-W-16927","EHRENBERG CELLAR, LLC","EHRENBERG CELLARS","2301 MONARCH ST","ALAMEDA","CA",94501,0,"ALAMEDA"
"CA-W-15349","CDK WINES, LLC","CARICA WINES","2301 MONARCH ST","ALAMEDA","CA",94501,7509,"ALAMEDA"
"CA-W-17048","JOSEPH GARY CELLARS, LLC","JOSEPH GARY CELLARS","2301 MONARCH ST","ALAMEDA","CA",94501,7509,"ALAMEDA"
"CA-W-16889","R & B CELLARS INC."," ","2301 MONARCH ST","ALAMEDA","CA",94501,7509,"ALAMEDA"
"CA-W-15513","IRISH MONKEY CELLARS, LLC"," ","1221 SHERMAN ST","ALAMEDA","CA",94501,3937,"ALAMEDA"
"CA-W-1515","DIAGEO CHATEAU & ESTATE WINES COMPANY","ROSENBLUM CELLARS","2900 MAIN ST","ALAMEDA","CA",94501,0,"ALAMEDA"
"CA-W-16594","ROCK WALL WINE COMPANY, INC."," ","2301 MONARCH ST","ALAMEDA","CA",94501,7509,"ALAMEDA"
"CA-W-17091","J EPPLER WINES, LLC","JOHN ROBERT EPPLER WINES","2301 MONARCH ST","ALAMEDA","CA",94501,7509,"ALAMEDA"
"CA-W-15018","A DONKEY AND GOAT, LLC","A DONKEY AND GOAT","1340 5TH ST","BERKELEY","CA",94710,0,"ALAMEDA"
"CA-W-15372","ALEXANDER J. VERHAGE","ENO WINES","805 CAMELIA ST","BERKELEY","CA",94710,1417,"ALAMEDA"
"CA-W-15222","WILLIAM T. GALARNEAU","ADAMS POINT WINERY","2413 FOURTH ST","BERKELEY","CA",94710,2403,"ALAMEDA"
"CA-W-1945","TAKARA SAKE USA, INC.","TAKARA SAKE USA","708 ADDISON ST","BERKELEY","CA",94710,1925,"ALAMEDA"
"CA-W-20192","TWININGVINE LLC"," ","16851 CULL CANYON RD","CASTRO VALLEY","CA",94552,9533,"ALAMEDA"
"CA-W-2755","WESTOVERWINERY.COM, INC.","WESTOVER","34329 PALOMARES RD","CASTRO VALLEY","CA",94552,9618,"ALAMEDA"
"CA-W-17517","RIGG ESTATE VINEYARDS LLC"," ","24542 PALOMARES RD","CASTRO VALLEY","CA",94552,9764,"ALAMEDA"
"CA-W-2794","CHOUINARD VINEYARDS, INC.","CHOUINARD VINEYARDS","33853 PALOMARES RD","CASTRO VALLEY","CA",94552,9616,"ALAMEDA"
"CA-W-2006","FENESTRA WINERY"," ","83 E VALLECITOS RD","LIVERMORE","CA",94550,0,"ALAMEDA"
"CA-W-813","CHRIS LAGISS","LIVERMORE VALLEY CELLARS","1508 WETMORE RD","LIVERMORE","CA",94550,9640,"ALAMEDA"
"CA-W-15561","WALDORF CONCEPTIONS LLC","THE CRUSH","5937 GRAHAM CT","LIVERMORE","CA",94550,0,"ALAMEDA"
"CA-W-2948","RHONDA RENE' WOOD & MICHAEL JAMES WOOD","WOOD FAMILY VINEYARDS","7702 CEDAR MOUNTAIN RD","LIVERMORE","CA",94550,7336,"ALAMEDA"
"CA-W-3144","RONALD & NANCY TENUTA","TENUTA VINEYARDS","633 KALTOFF COMMONS","LIVERMORE","CA",94550,0,"ALAMEDA"
"CA-W-15346","STEVEN KENT, LLC"," ","5565 TESLA RD","LIVERMORE","CA",94550,9149,"ALAMEDA"
"CA-W-235","WENTE BROS."," ","5565 TESLA RD","LIVERMORE","CA",94550,9149,"ALAMEDA"
