"PERMIT NUMBER","OWNER NAME","OPERATING NAME","STREET","CITY","STATE","ZIP","ZIP4","COUNTY"
"AK-W-15001","ALASKA MEADS LLC","RING OF FIRE MEADERY","178 E BUNNELL AVE","HOMER","AK",99603,7843,"KENAI PENINSULA"
"AK-W-15002","ROBERT JOE WAITES","WAITES WINERY","2321 CLEMENTS DR","ANCHORAGE","AK",99515,4163,"ANCHORAGE"
"AK-W-15003","MICHAEL R. KIKER","CELESTIAL MEADS","600 W 58TH AVE","ANCHORAGE","AK",99518,0,"ANCHORAGE"
"AK-W-15005","MATSON WINERY, INC.","MATSON WINERY & SUPPLY","6383 KENAI SPUR HWY","KENAI","AK",99611,8302,"KENAI PENINSULA"
"AK-W-20240","MCBESS ENTERPRISES LLC","ALASKA DENALI WINERY","1301 E DOWLING RD","ANCHORAGE","AK",99518,1428," "
"AK-W-270","GREAT LAND WINES, LTD.","GREAT LAND WINES","PO BOX 1083","HAINES","AK",99827,1083,"HAINES"
"AK-W-271","LISA & STEVE THOMSEN","ALASKAN WILDERNESS WINES","498 SHEARWATER WAY","KODIAK","AK",99615,7027,"KODIAK ISLAND"
"AK-W-273","BEAR CREEK WINERY, LLC"," ","60203 BEAR CREEK DR","HOMER","AK",99603,9440,"KENAI PENINSULA"
"AL-W-11","PERDIDO VINEYARDS OF GEORGIA, INC."," ","RR 1 BOX 20-A","PERDIDO","AL",36562,9801,"BALDWIN"
"AL-W-13","JAHN MICHEL COPPEY AND JANIE R. COPPEY","WILLS CREEK VINEYARDS","10522 DUCK SPRINGS RD","ATTALLA","AL",35954,8970,"ETOWAH"
"AL-W-14","WHITE OAK VINEYARDS, LLC","WHITE OAK VINEYARDS","1484 DRY HOLLOW RD","ANNISTON","AL",36207,1155,"CALHOUN"
"AL-W-15000","FIRST FRUITS, L.L.C.","THE WINERY ON MAIN","613 2ND AVE N","CLANTON","AL",35045,3422,"CHILTON"
"AL-W-15002","DEBORAH VIZZINA AND CHARLES THOMAS VIZZINA","VIZZINI FARMS WINERY","800 HIGHWAY 87","CALERA","AL",35040,5409,"SHELBY"
"AL-W-15003","CMC WINERY, INC.","MORGAN CREEK VINEYARDS","181 MORGAN CREEK LN","HARPERSVILLE","AL",35078,5128,"SHELBY"
"AL-W-15004","JULES J. BERTA VINEYARDS, LLC"," ","1409 DARDEN AVE","ALBERTVILLE","AL",35951,7439,"MARSHALL"
"AL-W-15005","WHIPPOORWILL VINEYARD, L.L.C.","WHIPPOORWILL VINEYARD","4282 COUNTY RD 31","NOTASULGA","AL",36866,0,"MACON"
"AL-W-15007","THE WINERY AT PEPPER PLACE, LP JAHN M. COPPYA, CHARLES T. VIZZINA, GAYLE TEAL DICK, GP'S"," ","2801 2ND AVE S","BIRMINGHAM","AL",35233,0,"JEFFERSON"
"AL-W-15008","WAKEFIELD ENTERPRISES, INC.","HODGES VINEYARDS","230 LEE RD","CAMP HILL","AL",36850,0,"TALLAPOOSA"
"AL-W-15009","HIDDEN MEADOW VINEYARD, L.L.C."," ","664 COUNTY ROAD 606","JEMISON","AL",35085,6553,"CHILTON"
"AL-W-15010","LEE INVESTMENT CONSULTANTS, L.L.C.","MARAELLA VINEYARDS & WINERY","5296 OLD US HWY 278 E","HOKES BLUFF","AL",35903,0,"ETOWAH"
"AL-W-15011","FRUITHURST WINERY LLC","THE FRUITHURST WINERY CO.","27091 COUNTY ROAD 49","FRUITHURST","AL",36262,3342,"CLEBURNE"
"AL-W-20264","MAD COUNTY WINERY, LLC"," ","121 CASTLE DR NW","HUNTSVILLE","AL",35758,0,"U.S.A."
"AL-W-20316","FORTITUDINE VINEYARD LLC"," ","280 VINYARD LN","EUTAW","AL",35462,4101,"Green"
"AL-W-20426","SOUTHEAST WINE, LLC","OZAN VINEYARD AND CELLARS","173 HIGHWAY 301","CALERA","AL",35040,5440,"Shelby"
"AL-W-4","KELLY E. III & SUSAN K. BRYANT","BRYANT VINEYARD","1454 GRIFFITT BEND RD","TALLADEGA","AL",35160,7255,"TALLADEGA"
"AR-W-15000","KURT NEUMEIER","NEUMEIER WINERY","3406 SWISS FAMILY DR","ALTUS","AR",72821,9036,"FRANKLIN"
"AR-W-15001","THE WINERY OF HOT SPRINGS INC.","THE WINERY OF HOT SPRINGS","1503 CENTRAL AVE","HOT SPRINGS","AR",71901,6147,"GARLAND"
"AR-W-15002","E & D ENDEAVORS, INC.","KEELS CREEK WINERY","3185 E VAN BUREN","EUREKA SPRINGS","AR",72632,9498,"CARROLL"
"AR-W-15004","ANDREW AND LESLEE POST","CLAIRE BENET CELLARS","8000 BEULAH LAND DR","OZARK","AR",72949,2643,"FRANKLIN"
"AR-W-15006","DONLEY GERALD HELMS","DEPARTEE CREEK WINERY","2610 JACKSON 1","BRADFORD","AR",72020,0,"WHITE"
"AR-W-15007","BRIAN ROELANDS AND MARGARET ROELANDS","BLUE LADY RESORT","149 COUNTY RD","GAMALIEL","AR",72537,0,"BAXTER"
"AR-W-15008","PERNOD RICARD USA BOTTLING, LLC","PERNOD RICARD USA","7401 STATE HIGHWAY 45 S","FORT SMITH","AR",72916,9393,"SEBASTIAN"
"AR-W-15009","TONTITOWN WINERY LLC"," ","335 N BARRINGTON RD","SPRINGDALE","AR",72762,9747,"WASHINGTON"
"AR-W-15012","POINT REMOVE WINERY, LLC.","THE POINT WINERY","36 HUNT CLUB LN","HATTIEVILLE","AR",72063,8028,"CONWAY"
"AR-W-15013","SCHNEIDER ENDEAVORS, INC.","RAILWAY WINERY","4937 HIGHWAY 187","EUREKA SPRINGS","AR",72631,8870,"CARROLL"
"AR-W-20331","MOVIE HOUSE WINERY, LLC","MOVIE HOUSE WINERY","112 E COMMERCE ST","MORRILTON","AR",72110,0,"Conway"
"AR-W-26","COWIE WINE CELLARS, INC.","COWIE WINE CELLARS","101 N CARBON CITY RD","PARIS","AR",72855,4630,"LOGAN"
"AR-W-31","CHATEAU AUX ARC, LLC","DBA CHATEAU AUX ARC","8045 HIGHWAY 186","ALTUS","AR",72821,8936,"FRANKLIN"
"AR-W-32","POST WINERY, INC.","POST WINERY","1700 SAINT MARYS MOUNTAIN RD","ALTUS","AR",72821,9001,"FRANKLIN"
"AR-W-33","EUGENE J. POST","MOUNT BETHEL WINERY","U. S. HIGHWAY 64 - 3/10 MILES EAST","ALTUS","AR",72821,0,"FRANKLIN"
"AR-W-34","WIEDERKEHR WINE CELLARS, INC.","WIEDERKEHR WINE CELLARS","3324 SWISS FAMILY DR","WIEDERKEHR VILLAGE","AR",72821,9037,"FRANKLIN"
"AR-W-35","PAUL J. POST","SAX WINERY","1700 SAINT MARYS MOUNTAIN RD","ALTUS","AR",72821,9001,"FRANKLIN"
"AR-WS-15000","ELLEN GOLDEN, DIRECT IMPORTER OF FRENCH ANTIQUES, LLC"," ","1916 N FILLMORE ST","LITTLE ROCK","AR",72207,4407,"PULASKI"
"AZ-W-15000","PAGE SPRINGS CELLARS, INC","PAGE SPRINGS CELLARS","1500 N PAGE SPRINGS RD","CORNVILLE","AZ",86325,6008,"YAVAPAI"
"AZ-W-15001","CHRISTOPHER CARY HAMILTON","RANCHO ROSSA VINEYARDS","201 CATTLE RANCH LN.","ELGIN","AZ",85611,0,"SANTA CRUZ"
"AZ-W-15002","ROBIN HOULT","GRANITE CREEK VINEYARDS","1145 E GRANITE CREEK LN","CHINO VALLEY","AZ",86323,5419,"YAVAPAI"
"AZ-W-15003","PARADISE PRODUCE, LLC","FREITAS VINEYARD","1575 PARADISE DR","COTTONWOOD","AZ",86326,4796,"YAVAPAI"
"AZ-W-15004","KEELING SCHAEFER VINEYARDS LLC"," ","10277 E ROCK CREEK LN","PEARCE","AZ",85625,6088,"COCHISE"
"AZ-W-15005","AMIGOS DE VINO, INC.","CROP CIRCLE VINEYARD AND WINERY","3052 N FT GRANT RD","WILLCOX","AZ",85643,3019,"COCHISE"
"AZ-W-15006","CANELO HILLS VINEYARD AND WINERY, L.L.C."," ","342 ELGIN RD","ELGIN","AZ",85611,0,"SANTA CRUZ"
"AZ-W-15007","BOSTOCK WINERY INC","BOSTOCK WINERY","3248 HIGHWAY 82","SONOITA","AZ",85637,0,"SANTA CRUZ"
"AZ-W-15008","ALCANTARA, L.L.C.","ALCANTARA VINEYARDS & WINERY","7500 E ALCANTARA WAY","COTTONWOOD","AZ",86326,0,"YAVAPAI"
"AZ-W-15009","JAVELINA LEAP VINEYARD & WINERY, LLC"," ","1565 PAGE SPRINGS RD","CORNVILLE","AZ",86325,0,"YAVAPAI"
"AZ-W-15010","SYCAMORE CANYON WINERY, LLC","SYCAMORE CANYON WINERY","2620 DANCING APACHE RD","CORNVILLE","AZ",86325,0,"YAVAPAI"
"AZ-W-15011","CORONADO VINEYARDS, INC.","CORONADO VINEYARDS","2909 E COUNTRY CLUB DR","WILLCOX","AZ",85643,3376,"COCHISE"
"AZ-W-15012","SU VINO WINERY SCOTTSDALE, INC.","SU VINO WINERY","7035 E MAIN ST","SCOTTSDALE","AZ",85251,0,"MARICOPA"
"AZ-W-15013","MANNING AND MANNING, INC.","KIEF-JOSHUA VINEYARD","370 ELGIN RD","ELGIN","AZ",85611,0,"SANTA CRUZ"
"AZ-W-15014","WORLD OF WINES, LLC","D'VINE WINE, YOUR PERSONAL WINERY","6926 E MAIN ST","SCOTTSDALE","AZ",85251,4312,"MARICOPA"
"AZ-W-15015","JEROME WINERY, INC.","BITTER CREEK WINERY","403 CLARK ST","JEROME","AZ",86331,0,"YAVAPAI"
"AZ-W-15016","LIGHTNING RIDGE CELLARS, LLC"," ","2368 HIGHWAY 83","ELGIN","AZ",85611,0,"SANTA CRUZ"
"AZ-W-15017","CLEAR CREEK VINEYARD AND WINERY LLC"," ","4053 E HIGHWAY 260","CAMP VERDE","AZ",86322,6047,"YAVAPAI"
"AZ-W-15018","ZEMPER RESERVE LLC","STUDIO VINO","1825 E GUADALUPE RD","TEMPE","AZ",85283,3276,"MARICOPA"
"AZ-W-15019","WILHELM FAMILY VINEYARDS, LLC","WILHELM FAMILY VINEYARDS","21 MOUNTAIN RANCH DR","ELGIN","AZ",85611,0,"SANTA CRUZ"
"AZ-W-15021","ARIZONA STRONGHOLD VINEYARDS, LLC","Arizona Stronghold Vineyards","4700 OLD HIGHWAY 279","CAMP VERDE","AZ",86322,8700,"YAVAPAI"
"AZ-W-15022","PILLSBURY WINE COMPANY, LLC","PILLSBURY WINE COMPANY","6450 S BENNETT PL","WILLCOX","AZ",85643,0,"COCHISE"
"AZ-W-15023","ODYSSEY CELLARS INC.","ODYSSEY CELLARS","8401 BELL RANCH RD","WILLCOX","AZ",85643,0,"COCHISE"
"AZ-W-15024","ARRIBA, LLC.","JUNIPER WELL RANCH","5425 N TONTO RD","SKULL VALLEY","AZ",86338,0,"YAVAPAI"
